SUNDERLAND,LEICESTER CITY,16 May 2015,37,46705,0 - 0,W,L,L,D,D,L,W,L,L,D,C. Pantilimon,J. O'Shea,B. Jones,S. Coates,P. van Aanholt,L. Cattermole,S. Larsson,L. Bridcutt,J. Defoe,D. Graham,C. Wickham,D. Advocaat,K. Schmeichel,R. Huth,M. Wasilewski,W. Morgan,J. Schlupp,E. Cambiasso,A. King,M. Albrighton,R. Mahrez,L. Ulloa,J. Vardy,N. Pearson
QUEENS PARK RANGERS,NEWCASTLE UNITED,16 May 2015,37,17608,2 - 1,L,W,L,L,W,W,L,L,L,L,R. Green,N. Onuoha,R. Dunne,C. Hill,S. Caulker,J. Barton,K. Henry,L. Fer,M. Phillips,J. Hoilett,C. Austin,C. Ramsey,T. Krul,F. Coloccini,R. Taylor,D. Janmaat,P. Dummett,J. Gutiérrez,M. Sissoko,J. Colback,R. Cabella,E. Rivière,Ayoze Pérez,J. Carver
BURNLEY,STOKE CITY,16 May 2015,37,18636,0 - 0,L,L,D,D,L,W,L,D,D,D,T. Heaton,J. Shackell,M. Duff,K. Trippier,B. Mee,M. Taylor,D. Jones,S. Arfield,G. Boyd,A. Barnes,D. Ings,S. Dyche,J. Butland,E. Pieters,R. Shawcross,G. Cameron,Muniesa,C. Adam,G. Whelan,S. N'Zonzi,J. Walters,M. Arnautović,M. Diouf,M. Hughes
LIVERPOOL,CRYSTAL PALACE,16 May 2015,37,44673,1 - 3,L,W,L,L,D,W,W,W,D,W,S. Mignolet,M. Škrtel,D. Lovren,Alberto Moreno,S. Gerrard,A. Lallana,J. Henderson,Philippe Coutinho,E. Can,J. Ibe,R. Sterling,B. Rodgers,W. Hennessey,S. Dann,M. Kelly,J. Ward,P. Souaré,Lee Chung-Yong,J. Ledley,J. Puncheon,J. McArthur,M. Chamakh,Y. Bolasie,A. Pardew
SWANSEA CITY,MANCHESTER CITY,17 May 2015,37,20669,2 - 4,L,L,L,L,L,W,W,D,W,W,Ł. Fabiański,N. Taylor,A. Williams,F. Fernández,J. Richards,N. Dyer,J. Cork,J. Shelvey,G. Sigurðsson,J. Montero,B. Gomis,G. Monk,J. Hart,M. Demichelis,P. Zabaleta,A. Kolarov,E. Mangala,F. Lampard,J. Milner,David Silva,Y. Touré,Fernandinho,S. Agüero,M. Pellegrini
MANCHESTER UNITED,ARSENAL,17 May 2015,37,75323,1 - 1,L,W,D,L,W,W,L,W,L,L,David de Gea,A. Valencia,A. Young,D. Blind,M. Rojo,C. Smalling,P. Jones,M. Fellaini,Mata,Ander Herrera,R. Falcao,L. van Gaal,D. Ospina,P. Mertesacker,Nacho Monreal,L. Koscielny,Bellerín,M. Özil,Santi Cazorla,F. Coquelin,A. Ramsey,A. Sánchez,O. Giroud,A. Wenger
WEST BROMWICH ALBION,CHELSEA,19 May 2015,37,24750,3 - 0,L,W,W,D,W,W,L,D,W,W,G. Myhill,J. Olsson,J. Lescott,G. McAuley,C. Dawson,J. Morrison,D. Fletcher,C. Yacob,C. Brunt,C. McManaman,S. Berahino,T. Pulis,T. Courtois,J. Terry,G. Cahill,Filipe Luis,B. Ivanović,Fàbregas,N. Matić,R. Loftus-Cheek,L. Rémy,E. Hazard,Diego Costa,José Mourinho
ARSENAL,SUNDERLAND,21 May 2015,33,59987,0 - 0,W,L,W,L,L,W,L,L,D,D,D. Ospina,P. Mertesacker,K. Gibbs,L. Koscielny,Bellerín,M. Özil,Santi Cazorla,J. Wilshere,A. Ramsey,A. Sánchez,O. Giroud,A. Wenger,C. Pantilimon,J. O'Shea,B. Jones,S. Coates,P. van Aanholt,A. Johnson,L. Cattermole,S. Larsson,J. Defoe,D. Graham,C. Wickham,D. Advocaat
STOKE CITY,TOTTENHAM HOTSPUR,9 May 2015,36,27104,3 - 0,W,L,D,D,D,W,W,L,W,L,J. Butland,E. Pieters,R. Shawcross,G. Cameron,Muniesa,C. Adam,G. Whelan,S. N'Zonzi,J. Walters,M. Arnautović,M. Diouf,M. Hughes,H. Lloris,J. Vertonghen,F. Fazio,V. Chiricheș,N. Chadli,R. Mason,E. Lamela,C. Eriksen,N. Bentaleb,E. Dier,H. Kane,M. Pochettino
NEWCASTLE UNITED,WEST BROMWICH ALBION,9 May 2015,36,47894,1 - 1,W,L,L,L,L,L,W,W,D,W,T. Krul,F. Coloccini,R. Taylor,P. Dummett,J. Gutiérrez,M. Sissoko,V. Anita,J. Colback,R. Cabella,E. Rivière,Ayoze Pérez,J. Carver,G. Myhill,J. Olsson,J. Lescott,G. McAuley,C. Dawson,C. Gardner,D. Fletcher,Y. Mulumbu,C. Yacob,C. Brunt,V. Anichebe,T. Pulis
LEICESTER CITY,SOUTHAMPTON,9 May 2015,36,31939,2 - 0,L,W,L,L,D,L,W,D,W,L,K. Schmeichel,R. Huth,M. Wasilewski,W. Morgan,J. Schlupp,E. Cambiasso,M. James,M. Albrighton,R. Mahrez,L. Ulloa,J. Vardy,N. Pearson,P. Gazzaniga,José Fonte,R. Bertrand,N. Clyne,T. Alderweireld,E. Elia,S. Davis,V. Wanyama,H. Reed,G. Pellè,S. Mané,R. Koeman
